No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Austria 905A,XLX905AL
06,Austria 232A,XLX232AL
07,Austria 806A,XLX806AL
08,Austria 801A,XLX801AL
09,Austria 905V,XLX905VL
10,Austria 905D,XLX905DL
11,Austria 232D,XLX232DL
12,Austria 232F,XLX232FL
13,Austria 905F,XLX905FL
14,Austria 232C,XLX232CL
15,Austria 232Z,XLX232ZL
16,Austria 030C,XLX030CL
17,Austria 905C,XLX905CL
18,Austria 030F,XLX030FL
19,Austria 905O,XLX905OL
20,Austria 232O,XLX232OL
21,Austria 232T,XLX232TL
22,Austria 806T,XLX806TL
23,Austria 232P,XLX232PL
24,Austria 801X,XLX801XL
25,Austria 232B,XLX232BL
26,Austria 030B,XLX030BL
27,Austria 806X,XLX806XL
28,Austria 030A,XLX030AL
29,Austria 802A,XLX802AL
30,Austria 801B,XLX801BL
31,Austria 806N,XLX806NL
32,Austria 905P,XLX905PL
33,Austria 232Y,XLX232YL
34,Austria 232N,XLX232NL
35,Austria 905Y,XLX905YL
36,Austria 905X,XLX905XL
37,Austria 030D,XLX030DL
38,Austria 801Y,XLX801YL
39,Austria 232E,XLX232EL
40,Austria 803X,XLX803XL
41,Austria 030Z,XLX030ZL
42,Austria 806K,XLX806KL
43,Austria 803A,XLX803AL
44,Austria 905B,XLX905BL
45,Austria 905E,XLX905EL
46,Austria 232K,XLX232KL
47,Austria 806G,XLX806GL
48,Austria 801W,XLX801WL
49,Austria 806I,XLX806IL
50,Austria 806O,XLX806OL
51,Austria 806B,XLX806BL
52,Austria 030E,XLX030EL
53,Austria 232W,XLX232WL
54,Austria 232V,XLX232VL
