No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Belgium 011B,XLX011BL
06,Belgium 210J,XLX210JL
07,Belgium 011F,XLX011FL
08,Belgium 210D,XLX210DL
09,Belgium 210W,XLX210WL
10,Belgium 011I,XLX011IL
11,Belgium 210G,XLX210GL
12,Belgium 011H,XLX011HL
13,Belgium 011D,XLX011DL
14,Belgium 011E,XLX011EL
15,Belgium 210E,XLX210EL
16,Belgium 011C,XLX011CL
17,Belgium 011G,XLX011GL
18,Belgium 210F,XLX210FL
19,Belgium 011A,XLX011AL
20,Belgium 210B,XLX210BL
21,Belgium 210C,XLX210CL
