No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Czechia CZEB,XLXCZEBL
06,Czechia 230B,XLX230BL
07,Czechia CZEW,XLXCZEWL
08,Czechia 230W,XLX230WL
09,Czechia CZEU,XLXCZEUL
10,Czechia 230U,XLX230UL
11,Czechia CZEV,XLXCZEVL
12,Czechia 230V,XLX230VL
13,Czechia 230P,XLX230PL
14,Czechia CZES,XLXCZESL
15,Czechia 230S,XLX230SL
16,Czechia CZEP,XLXCZEPL
17,Czechia 230A,XLX230AL
18,Czechia CZEA,XLXCZEAL
19,Czechia 230C,XLX230CL
20,Czechia 230T,XLX230TL
21,Czechia CZET,XLXCZETL
