No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,CA 302D,XLX302DL
06,CA 416D,XLX416DL
07,CA 405A,XLX405AL
08,CA 044A,XLX044AL
09,CA VPSC,XLXVPSCL
10,CA 103B,XLX103BL
11,CA VPSB,XLXVPSBL
12,CA 418A,XLX418AL
13,CA 196B,XLX196BL
14,CA 519A,XLX519AL
15,CA 774A,XLX774AL
16,CA 861A,XLX861AL
17,CA VPSA,XLXVPSAL
18,CA 405D,XLX405DL
19,CA VPSZ,XLXVPSZL
20,CA 861E,XLX861EL
21,CA 044B,XLX044BL
22,CA VPSD,XLXVPSDL
23,CA 302B,XLX302BL
24,CA VPST,XLXVPSTL
25,CA VPSG,XLXVPSGL
26,CA 302S,XLX302SL
27,CA 882B,XLX882BL
28,CA 044S,XLX044SL
29,CA 302E,XLX302EL
30,CA VPSO,XLXVPSOL
31,CA 418B,XLX418BL
32,CA 519B,XLX519BL
33,CA 774B,XLX774BL
34,CA 519D,XLX519DL
35,CA 774C,XLX774CL
36,CA 103A,XLX103AL
37,CA VPSE,XLXVPSEL
38,CA 861D,XLX861DL
