No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,World 001C,REF001CL
06,Brazil 724C,XLX724CL
07,Germany 021B,XLX021BL
08,Chile 046C,XLX046CL
09,Brazil 724D,XLX724DL
10,Italy 395B,XLX395BL
11,United States 757A,XLX757AL
12,Portugal 268D,XLX268DL
13,Ireland 049D,XLX049DL
14,New Zealand 287V,XLX287VL
15,Australia 500D,XLX500DL
16,Italy 022B,XLX022BL
17,Italy 099B,XLX099BL
18,Canada 302D,XLX302DL
19,Italy 068B,XLX068BL
20,Italy 118B,XLX118BL
21,Italy 999B,XLX999BL
22,Italy 930B,XLX930BL
23,Portugal 268F,XLX268FL
24,Switzerland 328B,XLX328BL
25,Slovenia 511D,XLX511DL
26,Italy 390B,XLX390BL
27,Germany 850A,XLX850AL
28,Spain 901C,XLX901CL
29,Netherlands 088B,XLX088BL
30,Italy 395A,XLX395AL
31,France 033C,XLX033CL
32,Netherlands 007B,XLX007BL
33,France 933C,XLX933CL
34,Italy 332B,XLX332BL
35,Portugal 268E,XLX268EL
36,Austria 905A,XLX905AL
37,Italy 706G,XLX706GL
38,Spain 903D,XLX903DL
39,Austria 232A,XLX232AL
40,Turkey 286D,XLX286DL
41,Switzerland 229A,XLX229AL
42,New Zealand 287Z,XLX287ZL
43,Italy 022A,XLX022AL
44,Austria 806A,XLX806AL
45,Austria 801A,XLX801AL
46,Canada 044A,XLX044AL
47,Italy 439B,XLX439BL
48,Canada 405A,XLX405AL
49,United States 334G,XLX334GL
50,Canada 416D,XLX416DL
51,United States 621A,XLX621AL
52,France 755C,XLX755CL
53,Greece 737C,XLX737CL
54,Uruguay 117D,XLX117DL
55,United Kingdom 600A,XLX600AL
