No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,IT 395B,XLX395BL
06,IT 022M,XLX022ML
07,IT 022B,XLX022BL
08,IT 118B,XLX118BL
09,IT 999B,XLX999BL
10,IT 099B,XLX099BL
11,IT 930B,XLX930BL
12,IT 068B,XLX068BL
13,IT 390B,XLX390BL
14,IT 395A,XLX395AL
15,IT 706G,XLX706GL
16,IT 022A,XLX022AL
17,IT 093D,XLX093DL
18,IT 001A,XLX001AL
19,IT 991D,XLX991DL
20,IT 486A,XLX486AL
21,IT 093A,XLX093AL
22,IT 231H,XLX231HL
23,IT 439B,XLX439BL
24,IT 321B,XLX321BL
25,IT 391S,XLX391SL
26,IT 280W,XLX280WL
27,IT 321F,XLX321FL
28,IT 991U,XLX991UL
29,IT 022D,XLX022DL
30,IT 862D,XLX862DL
31,IT 321A,XLX321AL
32,IT 321D,XLX321DL
33,IT 118D,XLX118DL
34,IT 022F,XLX022FL
35,IT 116D,XLX116DL
36,IT ITAC,XLXITACL
37,IT 965C,XLX965CL
38,IT 068C,XLX068CL
39,IT 585B,XLX585BL
40,IT 022Z,XLX022ZL
41,IT 965D,XLX965DL
42,IT 439A,XLX439AL
43,IT 934D,XLX934DL
44,IT UMBC,XLXUMBCL
45,IT 706D,XLX706DL
46,IT 118C,XLX118CL
47,IT 068U,XLX068UL
48,IT 118U,XLX118UL
49,IT 999U,XLX999UL
50,IT 099U,XLX099UL
51,IT 022C,XLX022CL
52,IT 930C,XLX930CL
53,IT 930U,XLX930UL
54,IT UMBA,XLXUMBAL
