No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Netherlands 007B,XLX007BL
06,Netherlands 007N,XLX007NL
07,Netherlands 007H,XLX007HL
08,Netherlands 007C,XLX007CL
09,Netherlands 007L,XLX007LL
10,Netherlands 007I,XLX007IL
11,Netherlands 007M,XLX007ML
12,Netherlands 707V,XLX707VL
13,Netherlands 007T,XLX007TL
14,Netherlands 131D,XLX131DL
15,Netherlands 007D,XLX007DL
16,Netherlands 007X,XLX007XL
17,Netherlands 707B,XLX707BL
18,Netherlands 007E,XLX007EL
19,Netherlands 707C,XLX707CL
20,Netherlands 007V,XLX007VL
21,Netherlands 007U,XLX007UL
22,Netherlands 007K,XLX007KL
23,Netherlands 007G,XLX007GL
