No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Portugal 268D,XLX268DL
06,Portugal 268F,XLX268FL
07,Portugal 268E,XLX268EL
08,Portugal 267E,XLX267EL
09,Portugal 268Y,XLX268YL
10,Portugal 268B,XLX268BL
11,Portugal 268C,XLX268CL
12,Portugal 268M,XLX268ML
13,Portugal 268N,XLX268NL
14,Portugal 268L,XLX268LL
15,Portugal 268I,XLX268IL
16,Portugal 268T,XLX268TL
17,Portugal 268H,XLX268HL
18,Portugal 268K,XLX268KL
19,Portugal 268J,XLX268JL
20,Portugal 268Q,XLX268QL
21,Portugal 268A,XLX268AL
22,Portugal 268G,XLX268GL
23,Portugal 040A,XLX040AL
24,Portugal 040D,XLX040DL
25,Portugal 040K,XLX040KL
26,Portugal 040C,XLX040CL
27,Portugal 040H,XLX040HL
28,Portugal 268R,XLX268RL
29,Portugal 267Y,XLX267YL
