No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Sweden 010W,XLX010WL
06,Sweden 010V,XLX010VL
07,Sweden 010K,XLX010KL
08,Sweden 010B,XLX010BL
09,Sweden 010Q,XLX010QL
10,Sweden 010T,XLX010TL
11,Sweden 010J,XLX010JL
12,Sweden 010U,XLX010UL
13,Sweden 010S,XLX010SL
14,Sweden 010E,XLX010EL
15,Sweden 010P,XLX010PL
16,Sweden 010N,XLX010NL
17,Sweden 010F,XLX010FL
18,Sweden 010D,XLX010DL
19,Sweden 010A,XLX010AL
20,Sweden 010M,XLX010ML
21,Sweden 010O,XLX010OL
22,Sweden 010C,XLX010CL
23,Sweden 010Z,XLX010ZL
24,Sweden 010G,XLX010GL
