No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,US 757A,XLX757AL
06,US 679A,XLX679AL
07,US 621A,XLX621AL
08,US 334G,XLX334GL
09,US 258A,XLX258AL
10,US 020A,XLX020AL
11,US 587E,XLX587EL
12,US 038A,XLX038AL
13,US 072A,XLX072AL
14,US 303E,XLX303EL
15,US 153A,XLX153AL
16,US 748A,XLX748AL
17,US 295A,XLX295AL
18,US 004B,XLX004BL
19,US 351A,XLX351AL
20,US 045A,XLX045AL
21,US 545B,XLX545BL
22,US ZZZS,XLXZZZSL
23,US 469B,XLX469BL
24,US ZZZB,XLXZZZBL
25,US 720D,XLX720DL
26,US 004F,XLX004FL
27,US 334C,XLX334CL
28,US 632A,XLX632AL
29,US 327A,XLX327AL
30,US 679B,XLX679BL
31,US 980A,XLX980AL
32,US 004C,XLX004CL
33,US 037A,XLX037AL
34,US 689M,XLX689ML
35,US 029C,XLX029CL
36,US 891C,XLX891CL
37,US 043A,XLX043AL
38,US 824D,XLX824DL
39,US 020D,XLX020DL
40,US 369A,XLX369AL
41,US 337C,XLX337CL
42,US 303A,XLX303AL
43,US 989P,XLX989PL
44,US 989A,XLX989AL
45,US 104C,XLX104CL
46,US 334B,XLX334BL
47,US 004A,XLX004AL
48,US 545A,XLX545AL
49,US 466A,XLX466AL
50,US 479C,XLX479CL
51,US 842A,XLX842AL
52,US 402A,XLX402AL
53,US SATC,XLXSATCL
54,US 816A,XLX816AL
